yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000167657	ENSG00000167657 -> O43293-1	O43293	DAPK3_HUMAN	reviewed	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	Homo sapiens (Human)	454
ENSG00000167658		P13639	EF2_HUMAN	reviewed	Elongation factor 2 (EF-2)	EEF2 EF2	Homo sapiens (Human)	858
ENSG00000178951		O95365	ZBT7A_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 7A (Factor binding IST protein 1) (FBI-1) (Factor that binds to inducer of short transcripts protein 1) (HIV-1 1st-binding protein 1) (Leukemia/lymphoma-related factor) (POZ and Krueppel erythroid myeloid ontogenic factor) (POK erythroid myeloid ontogenic factor) (Pokemon) (Pokemon 1) (TTF-I-interacting peptide 21) (TIP21) (Zinc finger protein 857A)	ZBTB7A FBI1 LRF ZBTB7 ZNF857A	Homo sapiens (Human)	584
ENSG00000126934		P36507	MP2K2_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2	Homo sapiens (Human)	400
ENSG00000105246		Q14213	IL27B_HUMAN	reviewed	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)	EBI3 IL27B	Homo sapiens (Human)	229
ENSG00000105248		Q9BW85	YJU2_HUMAN	reviewed	Splicing factor YJU2 (Coiled-coil domain-containing protein 94)	YJU2 CCDC94	Homo sapiens (Human)	323
ENSG00000105255		Q9BTV5	FSD1_HUMAN	reviewed	Fibronectin type III and SPRY domain-containing protein 1 (MID1-related protein 1) (Microtubule-associated protein GLFND)	FSD1 GLFND MIR1 VLP27	Homo sapiens (Human)	496
ENSG00000178078	ENSG00000178078 -> Q9UGK3-1;Q9UGK3-2	Q9UGK3	STAP2_HUMAN	reviewed	Signal-transducing adaptor protein 2 (STAP-2) (Breast tumor kinase substrate) (BRK substrate)	STAP2 BKS	Homo sapiens (Human)	403
ENSG00000141985	ENSG00000141985 -> Q99961-1;Q99961-2;Q99961-3	Q99961	SH3G1_HUMAN	reviewed	Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)	SH3GL1 CNSA1 SH3D2B	Homo sapiens (Human)	368
ENSG00000167670	ENSG00000167670 -> Q13111-1	Q13111	CAF1A_HUMAN	reviewed	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150) (hp150)	CHAF1A CAF CAF1P150	Homo sapiens (Human)	956
ENSG00000167671	ENSG00000167671 -> Q9BZV1-1;Q9BZV1-2	Q9BZV1	UBXN6_HUMAN	reviewed	UBX domain-containing protein 6 (UBX domain-containing protein 1)	UBXN6 UBXD1 UBXDC2	Homo sapiens (Human)	441
ENSG00000167674	ENSG00000167674 -> Q7Z4V5-1;Q7Z4V5-2	Q7Z4V5	HDGR2_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL2 HDGF2 HDGFRP2 HRP2 UNQ785/PRO1604	Homo sapiens (Human)	671
ENSG00000167676	ENSG00000167676 -> Q96Q06-1	Q96Q06	PLIN4_HUMAN	reviewed	Perilipin-4 (Adipocyte protein S3-12)	PLIN4 KIAA1881	Homo sapiens (Human)	1357
ENSG00000185361		Q8WVP5	TP8L1_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 8-like protein 1 (TIPE1) (TNF alpha-induced protein 8-like protein 1) (TNFAIP8-like protein 1) (Oxidative stress-regulated gene-beta) (Oxy-beta)	TNFAIP8L1	Homo sapiens (Human)	186
ENSG00000074842		Q969H8	MYDGF_HUMAN	reviewed	Myeloid-derived growth factor (MYDGF)	MYDGF C19orf10	Homo sapiens (Human)	173
ENSG00000142002	ENSG00000142002 -> Q86TI2-1;Q86TI2-2;Q86TI2-4	Q86TI2	DPP9_HUMAN	reviewed	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)	DPP9 DPRP2	Homo sapiens (Human)	863
ENSG00000141965		Q9BSK4	FEM1A_HUMAN	reviewed	Protein fem-1 homolog A (FEM1a) (FEM1-alpha) (Prostaglandin E receptor 4-associated protein)	FEM1A EPRAP	Homo sapiens (Human)	669
ENSG00000127666		Q8IUC6	TCAM1_HUMAN	reviewed	TIR domain-containing adapter molecule 1 (TICAM-1) (Proline-rich, vinculin and TIR domain-containing protein B) (Putative NF-kappa-B-activating protein 502H) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (MyD88-3) (TIR domain-containing adapter protein inducing IFN-beta)	TICAM1 PRVTIRB TRIF	Homo sapiens (Human)	712
ENSG00000105355	ENSG00000105355 -> O60664-1;O60664-3;O60664-4	O60664	PLIN3_HUMAN	reviewed	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434
ENSG00000276043	ENSG00000276043 -> Q96T88-1	Q96T88	UHRF1_HUMAN	reviewed	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	UHRF1 ICBP90 NP95 RNF106	Homo sapiens (Human)	793
ENSG00000127663	ENSG00000127663 -> O94953-2	O94953	KDM4B_HUMAN	reviewed	Lysine-specific demethylase 4B (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B)	KDM4B JHDM3B JMJD2B KIAA0876	Homo sapiens (Human)	1096
ENSG00000105426	ENSG00000105426 -> Q13332-1;Q13332-6;Q13332-7	Q13332	PTPRS_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	PTPRS	Homo sapiens (Human)	1948
ENSG00000130254	ENSG00000130254 -> Q14151-1;Q14151-2	Q14151	SAFB2_HUMAN	reviewed	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953
ENSG00000160633	ENSG00000160633 -> Q15424-1;Q15424-2;Q15424-3;Q15424-4	Q15424	SAFB1_HUMAN	reviewed	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	SAFB HAP HET SAFB1	Homo sapiens (Human)	915
ENSG00000130255		Q9Y3U8	RL36_HUMAN	reviewed	60S ribosomal protein L36 (Large ribosomal subunit protein eL36)	RPL36	Homo sapiens (Human)	105
ENSG00000174917		Q5XKP0	MIC13_HUMAN	reviewed	MICOS complex subunit MIC13 (Protein P117)	MICOS13 C19orf70 MIC13 QIL1	Homo sapiens (Human)	118
ENSG00000167733	ENSG00000167733 -> Q7Z5J1-1;Q7Z5J1-2;Q7Z5J1-3;Q7Z5J1-4;Q7Z5J1-5;Q7Z5J1-6;Q7Z5J1-7;Q7Z5J1-8	Q7Z5J1	DHI1L_HUMAN	reviewed	Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3) (Short chain dehydrogenase/reductase family 26C member 2) (Short-chain dehydrogenase/reductase 10)	HSD11B1L HSD3 SCDR10 SDR26C2	Homo sapiens (Human)	315
ENSG00000196365	ENSG00000196365 -> P36776-1;P36776-2;P36776-3	P36776	LONM_HUMAN	reviewed	Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	LONP1 PRSS15	Homo sapiens (Human)	959
ENSG00000141994	ENSG00000141994 -> Q96G46-1;Q96G46-3	Q96G46	DUS3L_HUMAN	reviewed	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)	DUS3L	Homo sapiens (Human)	650
ENSG00000174886	ENSG00000174886 -> Q86Y39-1;Q86Y39-2	Q86Y39	NDUAB_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	NDUFA11	Homo sapiens (Human)	141
ENSG00000105519	ENSG00000105519 -> Q13938-1;Q13938-3;Q13938-4	Q13938	CAYP1_HUMAN	reviewed	Calcyphosin (Calcyphosine)	CAPS	Homo sapiens (Human)	275
ENSG00000031823	ENSG00000031823 -> Q9H6Z4-1;Q9H6Z4-2;Q9H6Z4-3	Q9H6Z4	RANB3_HUMAN	reviewed	Ran-binding protein 3 (RanBP3)	RANBP3	Homo sapiens (Human)	567
ENSG00000087903	ENSG00000087903 -> P48378-1;P48378-2	P48378	RFX2_HUMAN	reviewed	DNA-binding protein RFX2 (Regulatory factor X 2)	RFX2	Homo sapiens (Human)	723
ENSG00000130382		Q03111	ENL_HUMAN	reviewed	Protein ENL (YEATS domain-containing protein 1)	MLLT1 ENL LTG19 YEATS1	Homo sapiens (Human)	559
ENSG00000125656		Q16740	CLPP_HUMAN	reviewed	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)	CLPP	Homo sapiens (Human)	277
ENSG00000125652		Q9BT30	ALKB7_HUMAN	reviewed	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564	Homo sapiens (Human)	221
ENSG00000125650		O60542	PSPN_HUMAN	reviewed	Persephin (PSP)	PSPN	Homo sapiens (Human)	156
ENSG00000125651		P35269	T2FA_HUMAN	reviewed	General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74)	GTF2F1 RAP74	Homo sapiens (Human)	517
ENSG00000088247		Q92945	FUBP2_HUMAN	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	KHSRP FUBP2	Homo sapiens (Human)	711
ENSG00000125648	ENSG00000125648 -> Q9BV35-1;Q9BV35-2;Q9BV35-3	Q9BV35	SCMC3_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein SCaMC-3 (Mitochondrial ATP-Mg/Pi carrier protein 2) (Mitochondrial Ca(2+)-dependent solute carrier protein 2) (Small calcium-binding mitochondrial carrier protein 3) (Solute carrier family 25 member 23)	SLC25A23 APC2 MCSC2 SCAMC3	Homo sapiens (Human)	468
ENSG00000104833		P04350	TBB4A_HUMAN	reviewed	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)	444
ENSG00000125734		Q9NPR9	GP108_HUMAN	reviewed	Protein GPR108 (Lung seven transmembrane receptor 2)	GPR108 LUSTR2	Homo sapiens (Human)	543
ENSG00000125733	ENSG00000125733 -> Q15642-1;Q15642-2	Q15642	CIP4_HUMAN	reviewed	Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)	TRIP10 CIP4 STOT STP	Homo sapiens (Human)	601
ENSG00000130544	ENSG00000130544 -> Q8N988-1;Q8N988-2	Q8N988	ZN557_HUMAN	reviewed	Zinc finger protein 557	ZNF557	Homo sapiens (Human)	423
ENSG00000171105	ENSG00000171105 -> P06213-1;P06213-2	P06213	INSR_HUMAN	reviewed	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
ENSG00000104883	ENSG00000104883 -> Q96HA9-1;Q96HA9-2	Q96HA9	PX11C_HUMAN	reviewed	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	PEX11G PEX11C	Homo sapiens (Human)	241
ENSG00000198816		Q9NW07	ZN358_HUMAN	reviewed	Zinc finger protein 358	ZNF358	Homo sapiens (Human)	568
ENSG00000090674		Q9GZU1	MCLN1_HUMAN	reviewed	Mucolipin-1 (ML1) (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)	MCOLN1 ML4 MSTP080	Homo sapiens (Human)	580
ENSG00000032444	ENSG00000032444 -> Q8IY17-2;Q8IY17-4;Q8IY17-5	Q8IY17	PLPL6_HUMAN	reviewed	Neuropathy target esterase (EC 3.1.1.5) (Patatin-like phospholipase domain-containing protein 6)	PNPLA6 NTE	Homo sapiens (Human)	1375
ENSG00000229833		P0DJ07	PT100_HUMAN	reviewed	Protein PET100 homolog, mitochondrial	PET100 C19orf79	Homo sapiens (Human)	73
ENSG00000076944	ENSG00000076944 -> Q15833-1;Q15833-2;Q15833-3	Q15833	STXB2_HUMAN	reviewed	Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B)	STXBP2 UNC18B	Homo sapiens (Human)	593
ENSG00000181029		Q8IUR0	TPPC5_HUMAN	reviewed	Trafficking protein particle complex subunit 5	TRAPPC5	Homo sapiens (Human)	188
ENSG00000171017		Q6NSJ5	LRC8E_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E)	LRRC8E	Homo sapiens (Human)	796
ENSG00000076984	ENSG00000076984 -> O14733-1;O14733-3;O14733-4	O14733	MP2K7_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4	Homo sapiens (Human)	419
ENSG00000104976		Q13487	SNPC2_HUMAN	reviewed	snRNA-activating protein complex subunit 2 (SNAPc subunit 2) (Proximal sequence element-binding transcription factor subunit delta) (PSE-binding factor subunit delta) (PTF subunit delta) (Small nuclear RNA-activating complex polypeptide 2) (snRNA-activating protein complex 45 kDa subunit) (SNAPc 45 kDa subunit)	SNAPC2 SNAP45	Homo sapiens (Human)	334
ENSG00000178531		P60606	CTXN1_HUMAN	reviewed	Cortexin-1	CTXN1 CTXN	Homo sapiens (Human)	82
ENSG00000104980		O43615	TIM44_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	Homo sapiens (Human)	452
ENSG00000066044	ENSG00000066044 -> Q15717-1	Q15717	ELAV1_HUMAN	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	326
ENSG00000167775	ENSG00000167775 -> Q9NPF0-1;Q9NPF0-2	Q9NPF0	CD320_HUMAN	reviewed	CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320)	CD320 8D6A UNQ198/PRO224	Homo sapiens (Human)	282
ENSG00000267855		O95182	NDUA7_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	NDUFA7	Homo sapiens (Human)	113
ENSG00000233927		P62857	RS28_HUMAN	reviewed	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	Homo sapiens (Human)	69
ENSG00000167772	ENSG00000167772 -> Q9BY76-1;Q9BY76-2	Q9BY76	ANGL4_HUMAN	reviewed	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	Homo sapiens (Human)	406
ENSG00000185236	ENSG00000185236 -> Q15907-1;Q15907-2	Q15907	RB11B_HUMAN	reviewed	Ras-related protein Rab-11B (GTP-binding protein YPT3)	RAB11B YPT3	Homo sapiens (Human)	218
ENSG00000099785	ENSG00000099785 -> Q9P0N8-1;Q9P0N8-2	Q9P0N8	MARH2_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCH2 (EC 2.3.2.27) (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCH2)	MARCH2 RNF172 HSPC240	Homo sapiens (Human)	246
ENSG00000099783	ENSG00000099783 -> P52272-1;P52272-2	P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	730
ENSG00000167785	ENSG00000167785 -> Q96NG5-1	Q96NG5	ZN558_HUMAN	reviewed	Zinc finger protein 558	ZNF558	Homo sapiens (Human)	402
ENSG00000181143		Q8WXI7	MUC16_HUMAN	reviewed	Mucin-16 (MUC-16) (Ovarian cancer-related tumor marker CA125) (CA-125) (Ovarian carcinoma antigen CA125)	MUC16 CA125	Homo sapiens (Human)	14507
ENSG00000130803	ENSG00000130803 -> Q96PQ6-1;Q96PQ6-2	Q96PQ6	ZN317_HUMAN	reviewed	Zinc finger protein 317	ZNF317 KIAA1588	Homo sapiens (Human)	595
ENSG00000196110		Q32M78	ZN699_HUMAN	reviewed	Zinc finger protein 699 (Hangover homolog)	ZNF699	Homo sapiens (Human)	642
ENSG00000188321	ENSG00000188321 -> Q9BR84-1;Q9BR84-2	Q9BR84	ZN559_HUMAN	reviewed	Zinc finger protein 559	ZNF559	Homo sapiens (Human)	538
ENSG00000174652		Q14584	ZN266_HUMAN	reviewed	Zinc finger protein 266 (Zinc finger protein HZF1)	ZNF266 KIAA2007	Homo sapiens (Human)	549
ENSG00000130818		Q9BUY5	ZN426_HUMAN	reviewed	Zinc finger protein 426	ZNF426	Homo sapiens (Human)	554
ENSG00000197961		P58317	ZN121_HUMAN	reviewed	Zinc finger protein 121 (Zinc finger protein 20)	ZNF121 ZNF20	Homo sapiens (Human)	390
ENSG00000171469	ENSG00000171469 -> Q8N587-1	Q8N587	ZN561_HUMAN	reviewed	Zinc finger protein 561	ZNF561	Homo sapiens (Human)	486
ENSG00000171466	ENSG00000171466 -> Q6V9R5-1;Q6V9R5-2	Q6V9R5	ZN562_HUMAN	reviewed	Zinc finger protein 562	ZNF562	Homo sapiens (Human)	426
ENSG00000196605	ENSG00000196605 -> Q147U1-1;Q147U1-3	Q147U1	ZN846_HUMAN	reviewed	Zinc finger protein 846	ZNF846	Homo sapiens (Human)	533
ENSG00000127452	ENSG00000127452 -> Q9NXK8-1;Q9NXK8-2	Q9NXK8	FXL12_HUMAN	reviewed	F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12)	FBXL12 FBL12	Homo sapiens (Human)	326
ENSG00000198258		Q9BZL1	UBL5_HUMAN	reviewed	Ubiquitin-like protein 5	UBL5	Homo sapiens (Human)	73
ENSG00000127445		Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
ENSG00000130813	ENSG00000130813 -> Q9NUL5-1;Q9NUL5-2;Q9NUL5-4	Q9NUL5	SHFL_HUMAN	reviewed	Shiftless antiviral inhibitor of ribosomal frameshifting protein (SFL) (SHFL) (Interferon-regulated antiviral protein) (IRAV) (Repressor of yield of DENV protein) (RyDEN)	SHFL C19orf66 FLJ11286 IRAV RYDEN SFL	Homo sapiens (Human)	291
ENSG00000130812		Q8NI99	ANGL6_HUMAN	reviewed	Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5)	ANGPTL6 AGF ARP5 UNQ152/PRO178	Homo sapiens (Human)	470
ENSG00000244165		Q96G91	P2Y11_HUMAN	reviewed	P2Y purinoceptor 11 (P2Y11)	P2RY11	Homo sapiens (Human)	374
ENSG00000130816	ENSG00000130816 -> P26358-1;P26358-2	P26358	DNMT1_HUMAN	reviewed	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)	DNMT1 AIM CXXC9 DNMT	Homo sapiens (Human)	1616
ENSG00000267534		O95136	S1PR2_HUMAN	reviewed	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1PR2 EDG5	Homo sapiens (Human)	353
ENSG00000105364	ENSG00000105364 -> Q9BYD3-1;Q9BYD3-2	Q9BYD3	RM04_HUMAN	reviewed	39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4) (Mitochondrial large ribosomal subunit protein uL4m)	MRPL4 CDABP0091 CGI-28	Homo sapiens (Human)	311
ENSG00000090339		P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532
ENSG00000105371	ENSG00000105371 -> Q14773-1;Q14773-2;Q14773-3	Q14773	ICAM4_HUMAN	reviewed	Intercellular adhesion molecule 4 (ICAM-4) (Landsteiner-Wiener blood group glycoprotein) (LW blood group protein) (CD antigen CD242)	ICAM4 LW	Homo sapiens (Human)	271
ENSG00000267673	ENSG00000267673 -> Q6P4F2-1	Q6P4F2	FDX2_HUMAN	reviewed	Ferredoxin-2, mitochondrial (Adrenodoxin-like protein) (Ferredoxin-1-like protein)	FDX2 FDX1L	Homo sapiens (Human)	186
ENSG00000161847	ENSG00000161847 -> Q8IY67-1	Q8IY67	RAVR1_HUMAN	reviewed	Ribonucleoprotein PTB-binding 1 (Protein raver-1)	RAVER1 KIAA1978	Homo sapiens (Human)	606
ENSG00000076662		P32942	ICAM3_HUMAN	reviewed	Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50)	ICAM3	Homo sapiens (Human)	547
ENSG00000105397		P29597	TYK2_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	1187
ENSG00000105401		Q16543	CDC37_HUMAN	reviewed	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	Homo sapiens (Human)	378
ENSG00000065989	ENSG00000065989 -> P27815-1;P27815-2;P27815-4;P27815-6;P27815-7	P27815	PDE4A_HUMAN	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46)	PDE4A DPDE2	Homo sapiens (Human)	886
ENSG00000079999		Q14145	KEAP1_HUMAN	reviewed	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	KEAP1 INRF2 KIAA0132 KLHL19	Homo sapiens (Human)	624
ENSG00000180739	ENSG00000180739 -> Q9H228-1	Q9H228	S1PR5_HUMAN	reviewed	Sphingosine 1-phosphate receptor 5 (S1P receptor 5) (S1P5) (Endothelial differentiation G-protein-coupled receptor 8) (Sphingosine 1-phosphate receptor Edg-8) (S1P receptor Edg-8)	S1PR5 EDG8	Homo sapiens (Human)	398
ENSG00000129347		Q8N9T8	KRI1_HUMAN	reviewed	Protein KRI1 homolog	KRI1	Homo sapiens (Human)	703
ENSG00000129355		P55273	CDN2D_HUMAN	reviewed	Cyclin-dependent kinase 4 inhibitor D (p19-INK4d)	CDKN2D	Homo sapiens (Human)	166
ENSG00000129354	ENSG00000129354 -> Q9Y6Q5-1;Q9Y6Q5-2	Q9Y6Q5	AP1M2_HUMAN	reviewed	AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin)	AP1M2	Homo sapiens (Human)	423
ENSG00000129353	ENSG00000129353 -> Q8IWA5-1;Q8IWA5-2;Q8IWA5-3	Q8IWA5	CTL2_HUMAN	reviewed	Choline transporter-like protein 2 (Solute carrier family 44 member 2)	SLC44A2 CTL2 PSEC0210	Homo sapiens (Human)	706
ENSG00000129351	ENSG00000129351 -> Q12906-1;Q12906-2;Q12906-4;Q12906-5;Q12906-6;Q12906-7	Q12906	ILF3_HUMAN	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
ENSG00000213339	ENSG00000213339 -> Q9BXR0-1;Q9BXR0-2	Q9BXR0	TGT_HUMAN	reviewed	Queuine tRNA-ribosyltransferase catalytic subunit 1 (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	QTRT1 TGT TGUT	Homo sapiens (Human)	403
ENSG00000079805	ENSG00000079805 -> P50570-1;P50570-2;P50570-3;P50570-4;P50570-5	P50570	DYN2_HUMAN	reviewed	Dynamin-2 (EC 3.6.5.5)	DNM2 DYN2	Homo sapiens (Human)	870
ENSG00000099203		Q13445	TMED1_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (Tp24) (p24gamma1)	TMED1 IL1RL1L IL1RL1LG	Homo sapiens (Human)	227
ENSG00000142453	ENSG00000142453 -> Q86X55-1;Q86X55-3	Q86X55	CARM1_HUMAN	reviewed	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	Homo sapiens (Human)	608
